image_id,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
img_00001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
img_00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
img_00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
img_00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
img_00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
img_00007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
img_00008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
img_00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
img_00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
img_00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
img_00017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
img_00018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
img_00021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00026,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
img_00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
img_00029,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
img_00032,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
img_00033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00034,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
img_00035,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
img_00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
img_00037,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
img_00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
img_00040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00041,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
img_00043,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
img_00044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00047,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
img_00049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
img_00050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
img_00051,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
img_00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
img_00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
img_00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
img_00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
img_00062,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
img_00065,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
img_00067,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
img_00069,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
img_00071,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
img_00072,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
img_00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
img_00074,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
img_00076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
img_00077,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
img_00078,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
img_00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
img_00080,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
img_00082,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_00083,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
